competitor,product,brand,type,in_stock_flavours,flavours_in_stock,other_variants_in_stock,price_from,listings,example_listing,competitor_url,more_urls,closest_vos_product,closest_vos_score
vapeshop.co.uk,vapemate classic cigar 10ml,vapemate,eliquid,0,,"strength: 12mg, 18mg, 3mg, 6mg",2.99,1,Vapemate Classic Cigar 10ml,https://vapeshop.co.uk/products/vapemate-classic-cigar,,,
vapeshop.co.uk,vapemate classic cinnamon danish swirl 10ml,vapemate,eliquid,0,,"strength: 12mg, 18mg, 6mg",2.99,1,Vapemate Classic Cinnamon Danish Swirl 10ml,https://vapeshop.co.uk/products/vapemate-classic-cinnamon-danish-swirl,,,
vapeshop.co.uk,vapemate classic double espresso 10ml,vapemate,eliquid,0,,"strength: 12mg, 3mg, 6mg",2.99,1,Vapemate Classic Double Espresso 10ml,https://vapeshop.co.uk/products/vapemate-classic-double-espresso,,,
vapeshop.co.uk,vapemate classic el camino 10ml,vapemate,eliquid,0,,strength: 3mg,0.99,1,Vapemate Classic El Camino 10ml,https://vapeshop.co.uk/products/vapemate-classic-el-camino,,,
vapeshop.co.uk,vapemate classic havana cigar 10ml,vapemate,eliquid,0,,"strength: 12mg, 18mg, 3mg, 6mg",2.99,1,Vapemate Classic Havana Cigar 10ml,https://vapeshop.co.uk/products/vapemate-classic-havana-cigar,,,
vapeshop.co.uk,vapemate classic jelly babies 10ml,vapemate,eliquid,0,,"strength: 12mg, 6mg",0.99,1,Vapemate Classic Jelly Babies 10ml,https://vapeshop.co.uk/products/vapemate-classic-jelly-babies,,,
vapeshop.co.uk,vapemate classic lime zinger 10ml,vapemate,eliquid,0,,"strength: 0mg, 12mg, 18mg, 3mg, 6mg",0.99,1,Vapemate Classic Lime Zinger 10ml,https://vapeshop.co.uk/products/vapemate-classic-lime-zinger,,,
vapeshop.co.uk,vapemate classic marzipan 10ml,vapemate,eliquid,0,,strength: 12mg,2.99,1,Vapemate Classic Marzipan 10ml,https://vapeshop.co.uk/products/vapemate-classic-marzipan,,,
vapeshop.co.uk,vapemate classic mentholyptus 10ml,vapemate,eliquid,0,,"strength: 0mg, 12mg, 18mg, 3mg, 6mg",2.99,1,Vapemate Classic Mentholyptus 10ml,https://vapeshop.co.uk/products/vapemate-classic-mentholyptus,,,
vapeshop.co.uk,vapemate classic purple tonic 10ml,vapemate,eliquid,0,,strength: 6mg,2.99,1,Vapemate Classic Purple Tonic 10ml,https://vapeshop.co.uk/products/vapemate-classic-purple-tonic,,,
vapeshop.co.uk,vapemate classic say my name 10ml,vapemate,eliquid,0,,"strength: 0mg, 12mg, 18mg, 3mg",0.99,1,Vapemate Classic Say My Name 10ml,https://vapeshop.co.uk/products/vapemate-classic-say-my-name,,,
vapeshop.co.uk,vapemate classic wine gums 10ml,vapemate,eliquid,0,,strength: 6mg,0.99,1,Vapemate Classic Wine Gums 10ml,https://vapeshop.co.uk/products/vapemate-classic-wine-gums,,,
vapeshop.co.uk,vapemate origins mentholyptus 10ml,vapemate,eliquid,0,,"strength: 0mg, 12mg, 18mg, 6mg",2.99,1,Vapemate Origins Mentholyptus 10ml,https://vapeshop.co.uk/products/vapemate-origins-mentholyptus-10ml,,,
vapeshop.co.uk,Vltz E-Liquid,vltz,eliquid,1,lemon limeade,strength: 10mg,1.49,1,Lemon Limeade VLTZ E-liquid,https://vapeshop.co.uk/products/lemon-limeade-vltz-eliquid,,,
